case_id,run_id,segment_index,source_field,segment_join,normalization,text,code_points,code_point_count,utf8_byte_count,letter_count,mark_count,number_count,punctuation_count,symbol_count,separator_count,control_other_count,count_all_code_points,count_without_whitespace,count_without_punctuation,count_without_whitespace_or_punctuation
C02,C02-run01,0,result_text,segment,none,はい、わかりました。いいえ、まだです。今日は晴れですか？,U+306F U+3044 U+3001 U+308F U+304B U+308A U+307E U+3057 U+305F U+3002 U+3044 U+3044 U+3048 U+3001 U+307E U+3060 U+3067 U+3059 U+3002 U+4ECA U+65E5 U+306F U+6674 U+308C U+3067 U+3059 U+304B U+FF1F,28,84,23,0,0,5,0,0,0,28,28,23,23
C02,C02-run01,0,result_text,segment,NFC,はい、わかりました。いいえ、まだです。今日は晴れですか？,U+306F U+3044 U+3001 U+308F U+304B U+308A U+307E U+3057 U+305F U+3002 U+3044 U+3044 U+3048 U+3001 U+307E U+3060 U+3067 U+3059 U+3002 U+4ECA U+65E5 U+306F U+6674 U+308C U+3067 U+3059 U+304B U+FF1F,28,84,23,0,0,5,0,0,0,28,28,23,23
C02,C02-run01,0,result_text,segment,NFKC,はい、わかりました。いいえ、まだです。今日は晴れですか?,U+306F U+3044 U+3001 U+308F U+304B U+308A U+307E U+3057 U+305F U+3002 U+3044 U+3044 U+3048 U+3001 U+307E U+3060 U+3067 U+3059 U+3002 U+4ECA U+65E5 U+306F U+6674 U+308C U+3067 U+3059 U+304B U+003F,28,82,23,0,0,5,0,0,0,28,28,23,23
C02,C02-run01,0,display_text,segment,none,はい、わかりました。いいえ、まだです。今日は晴れですか？,U+306F U+3044 U+3001 U+308F U+304B U+308A U+307E U+3057 U+305F U+3002 U+3044 U+3044 U+3048 U+3001 U+307E U+3060 U+3067 U+3059 U+3002 U+4ECA U+65E5 U+306F U+6674 U+308C U+3067 U+3059 U+304B U+FF1F,28,84,23,0,0,5,0,0,0,28,28,23,23
C02,C02-run01,0,display_text,segment,NFC,はい、わかりました。いいえ、まだです。今日は晴れですか？,U+306F U+3044 U+3001 U+308F U+304B U+308A U+307E U+3057 U+305F U+3002 U+3044 U+3044 U+3048 U+3001 U+307E U+3060 U+3067 U+3059 U+3002 U+4ECA U+65E5 U+306F U+6674 U+308C U+3067 U+3059 U+304B U+FF1F,28,84,23,0,0,5,0,0,0,28,28,23,23
C02,C02-run01,0,display_text,segment,NFKC,はい、わかりました。いいえ、まだです。今日は晴れですか?,U+306F U+3044 U+3001 U+308F U+304B U+308A U+307E U+3057 U+305F U+3002 U+3044 U+3044 U+3048 U+3001 U+307E U+3060 U+3067 U+3059 U+3002 U+4ECA U+65E5 U+306F U+6674 U+308C U+3067 U+3059 U+304B U+003F,28,82,23,0,0,5,0,0,0,28,28,23,23
C02,C02-run01,0,nbest_display,segment,none,はい、わかりました。いいえ、まだです。今日は晴れですか？,U+306F U+3044 U+3001 U+308F U+304B U+308A U+307E U+3057 U+305F U+3002 U+3044 U+3044 U+3048 U+3001 U+307E U+3060 U+3067 U+3059 U+3002 U+4ECA U+65E5 U+306F U+6674 U+308C U+3067 U+3059 U+304B U+FF1F,28,84,23,0,0,5,0,0,0,28,28,23,23
C02,C02-run01,0,nbest_display,segment,NFC,はい、わかりました。いいえ、まだです。今日は晴れですか？,U+306F U+3044 U+3001 U+308F U+304B U+308A U+307E U+3057 U+305F U+3002 U+3044 U+3044 U+3048 U+3001 U+307E U+3060 U+3067 U+3059 U+3002 U+4ECA U+65E5 U+306F U+6674 U+308C U+3067 U+3059 U+304B U+FF1F,28,84,23,0,0,5,0,0,0,28,28,23,23
C02,C02-run01,0,nbest_display,segment,NFKC,はい、わかりました。いいえ、まだです。今日は晴れですか?,U+306F U+3044 U+3001 U+308F U+304B U+308A U+307E U+3057 U+305F U+3002 U+3044 U+3044 U+3048 U+3001 U+307E U+3060 U+3067 U+3059 U+3002 U+4ECA U+65E5 U+306F U+6674 U+308C U+3067 U+3059 U+304B U+003F,28,82,23,0,0,5,0,0,0,28,28,23,23
C02,C02-run01,0,lexical,segment,none,はい わかりました いいえ まだ です 今日 は 晴 れ ですか,U+306F U+3044 U+0020 U+308F U+304B U+308A U+307E U+3057 U+305F U+0020 U+3044 U+3044 U+3048 U+0020 U+307E U+3060 U+0020 U+3067 U+3059 U+0020 U+4ECA U+65E5 U+0020 U+306F U+0020 U+6674 U+0020 U+308C U+0020 U+3067 U+3059 U+304B,32,78,23,0,0,0,0,9,0,32,23,32,23
